Date,Open,High,Low,Close,Adj Close,Volume
04/01/2000,1028.33,1066.18,1016.59,1059.04,1059.04,19589800
05/01/2000,1006.87,1026.52,984.05,986.31,986.31,25769600
06/01/2000,1013.95,1014.9,953.5,960.79,960.79,20352300
07/01/2000,949.17,970.16,930.84,948.65,948.65,21566400
10/01/2000,979.67,994.94,974.82,987.24,987.24,24017500
11/01/2000,992.17,1005.87,981.23,981.33,981.33,25707000
12/01/2000,957.98,968.68,949.2,955.01,955.01,22707900
13/01/2000,955.06,960.73,939.25,951.05,951.05,22300100
14/01/2000,958.82,970.59,937.75,948.03,948.03,22495700
17/01/2000,962.67,986.09,959.36,983.27,983.27,21205800
18/01/2000,992.31,992.85,967.96,981.53,981.53,21208000
19/01/2000,969.31,969.31,938.74,938.78,938.78,23572600
20/01/2000,927.12,945.9,906.26,945.9,945.9,22668400
21/01/2000,928.55,940.7,911.83,925.16,925.16,25513500
24/01/2000,917.93,944.31,915.7,926.77,926.77,21041300
25/01/2000,909.12,913.19,891.22,891.22,891.22,24259100
26/01/2000,896.34,902.43,875.82,885.54,885.54,23114600
27/01/2000,888.27,912.49,879,909.23,909.23,34491100
28/01/2000,922.74,943.95,916.86,941.67,941.67,29313700
31/01/2000,924.83,948.84,922.92,943.88,943.88,28943500
01/02/2000,955.44,959.31,923.52,928.75,928.75,30614300
02/02/2000,929.69,950.13,923.4,943.59,943.59,31040600
03/02/2000,950.26,959,934.11,950.22,950.22,27712100
07/02/2000,953.23,982.03,951.31,973.13,973.13,27176500
08/02/2000,977.07,981.42,960.47,961.22,961.22,22949000
09/02/2000,967.53,979.92,966.15,976.05,976.05,24044600
10/02/2000,966.36,991.71,957.73,966.18,966.18,25161400
11/02/2000,990.11,990.75,941.24,953.22,953.22,27478000
14/02/2000,932.94,941.23,907.91,910.87,910.87,23418000
15/02/2000,916.89,919.43,875.05,879.7,879.7,21859800
16/02/2000,881.03,886.63,843.58,879.5,879.5,21404500
17/02/2000,869.35,901.83,869.35,897.52,897.52,21242100
18/02/2000,900.71,918.04,879.14,897.52,897.52,25828100
21/02/2000,864.61,866.32,843.65,845.32,845.32,21379400
22/02/2000,844.11,867.68,835.97,850.02,850.02,24438900
23/02/2000,866.14,882.79,852.89,880.67,880.67,34644900
24/02/2000,874.53,887.82,857.68,867.37,867.37,25668800
25/02/2000,856.06,873.08,847.14,864.76,864.76,25518200
28/02/2000,850.36,850.48,819.01,819.01,819.01,25312500
29/02/2000,843.31,846.37,810.53,828.38,828.38,27572800
02/03/2000,864.78,900.3,857.05,894.66,894.66,31775300
03/03/2000,909.81,910.02,882.48,894.83,894.83,31125000
06/03/2000,907.56,913.51,899.58,909.33,909.33,35262300
07/03/2000,907.01,907.85,893.09,907.34,907.34,33927400
08/03/2000,895.93,919.03,883.53,915.24,915.24,33927400
09/03/2000,922.71,928.55,884.59,884.59,884.59,37003300
10/03/2000,902.31,913.6,886.26,891.36,891.36,33062300
13/03/2000,890.87,890.87,849.52,854.66,854.66,36440200
14/03/2000,843.14,858.68,838.31,846.74,846.74,33075300
15/03/2000,837.35,841.73,820.3,837.53,837.53,31289800
16/03/2000,847.9,860.4,832.17,841.22,841.22,29887500
17/03/2000,864.36,869.82,850.04,855.57,855.57,30084400
20/03/2000,862.68,867.54,843.46,850.51,850.51,22793400
21/03/2000,850.91,863.41,838.98,863.41,863.41,22793700
22/03/2000,869.88,886.53,865.97,882.43,882.43,29602700
23/03/2000,888.89,892.78,862.84,867.62,867.62,25490700
24/03/2000,876.93,900.06,861.64,889.24,889.24,28192500
27/03/2000,893.13,893.13,876.52,886.71,886.71,28235900
28/03/2000,886.51,902.76,882.22,891.29,891.29,26274800
29/03/2000,886.69,913.35,881.52,908.51,908.51,28075000
30/03/2000,905.59,909.51,889.23,889.95,889.95,26407700
31/03/2000,872.02,885.74,860.52,860.94,860.94,21473100
03/04/2000,866.75,876.81,837.36,846.44,846.44,20959100
04/04/2000,835.24,850.1,814.54,830.16,830.16,20303100
05/04/2000,835.24,850.1,814.54,830.16,830.16,20303100
06/04/2000,827.23,827.89,804.15,804.35,804.35,17297300
07/04/2000,811.38,838.82,811.38,837.38,837.38,20511600
10/04/2000,861.72,880.41,851.3,870.17,870.17,32532000
11/04/2000,864.65,864.65,839.82,855.05,855.05,25514000
12/04/2000,841.16,853.61,834.75,837.01,837.01,21351000
14/04/2000,808.46,816.07,793.74,800.89,800.89,0
17/04/2000,762.96,762.96,699.22,707.72,707.72,28774100
18/04/2000,738.1,769.38,724.05,747.3,747.3,27302600
19/04/2000,767.27,781.55,745.77,755.08,755.08,29237800
20/04/2000,752.04,765.01,749.61,761.25,761.25,20406000
21/04/2000,764.81,772.86,759.34,767.16,767.16,20214200
24/04/2000,767.05,770.72,746.16,747.58,747.58,17665600
25/04/2000,738.56,742.15,730.43,737.2,737.2,16848100
26/04/2000,751.89,760.21,712.42,713.23,713.23,24194100
27/04/2000,699.29,710.7,688.36,692.07,692.07,22444500
28/04/2000,698.06,727.26,698.06,725.39,725.39,22815100
02/05/2000,731.76,753.46,729.84,752.59,752.59,19597400
03/05/2000,751.07,755.62,742.94,752.76,752.76,17977800
04/05/2000,753.18,760.99,745.39,751.29,751.29,19022500
08/05/2000,759.15,778.46,759.15,770.24,770.24,19551200
09/05/2000,768.01,771.51,758.89,760.85,760.85,18101000
10/05/2000,757.36,764.64,753.73,759.51,759.51,19357100
